group_id,group_type,match_key,metaobject_id,handle,display_name,updated_at,populated_field_count,populated_fields,referencing_product_count,referencing_product_handles,referencing_product_statuses,fields_that_differ_in_group,canonical_pick
D015,SAME_PRODUCT_TITLE,nautilus inspiration vertical row 9-ipvr5-60bz (new),136840479036,nautilus-inspiration-vertical-row-9-ipvr-5-60-bz-new,Nautilus Inspiration Vertical Row 9-IPVR5-60BZ (New),2025-03-12T06:19:36Z,4,product_title|features|tech_specs|warranty_info,0,,,features|other_features|tech_specs|weight_stacks|buying_guide|shipping_dims_weight_2|warranty_info|shipping_dims_weight,duplicate
D015,SAME_PRODUCT_TITLE,nautilus inspiration vertical row 9-ipvr5-60bz (new),146348835132,nautilus-inspiration-vertical-row-9-ipvr-5-60-bz-new-1,Nautilus Inspiration Vertical Row 9-IPVR5-60BZ (New),2025-10-15T23:34:45Z,8,product_title|other_features|tech_specs|weight_stacks|buying_guide|shipping_dims_weight_2|warranty_info|shipping_dims_weight,1,nautilus-inspiration-vertical-row-9-ipvr5-60bz-new,ACTIVE,features|other_features|tech_specs|weight_stacks|buying_guide|shipping_dims_weight_2|warranty_info|shipping_dims_weight,CANONICAL
D016,SAME_PRODUCT_TITLE,"stairmaster 8 series gauntlet x w/16"" touch display (new)",146935873852,stairmaster-8-series-gauntlet-x-w-led-display-9-5395-8-gx-16-in-60-new,"Stairmaster 8 Series Gauntlet X w/16"" Touch Display (New)",2025-04-27T23:10:22Z,5,product_title|features|other_features|tech_specs|warranty_info,0,,,features|tech_specs|shipping_dims_weight,duplicate
D016,SAME_PRODUCT_TITLE,"stairmaster 8 series gauntlet x w/16"" touch display (new)",146939248956,stairmaster-8-series-gauntlet-x-w-16-touch-display-new,"Stairmaster 8 Series Gauntlet X w/16"" Touch Display (New)",2025-09-04T03:45:09Z,6,product_title|features|other_features|tech_specs|warranty_info|shipping_dims_weight,1,stairmaster-8-series-gauntlet-x-w-16-touch-display-new,ARCHIVED,features|tech_specs|shipping_dims_weight,CANONICAL
D017,SAME_PRODUCT_TITLE,"star trac 6 series 6tr treadmill w/16"" embedded display - black (new)",173610959164,star-trac-6-series-6-tr-treadmill-w-24-embedded-display-black-new,"Star Trac 6 Series 6TR Treadmill w/16"" Embedded Display - Black (New)",2025-10-07T12:25:52Z,5,product_title|features|other_features|tech_specs|warranty_info,0,,,features|other_features,duplicate
D017,SAME_PRODUCT_TITLE,"star trac 6 series 6tr treadmill w/16"" embedded display - black (new)",182389866812,star-trac-6-series-6-tr-treadmill-w-16-embedded-display-black-new,"Star Trac 6 Series 6TR Treadmill w/16"" Embedded Display - Black (New)",2026-02-05T02:12:17Z,5,product_title|features|other_features|tech_specs|warranty_info,1,star-trac-6-series-6tr-treadmill-w-16-embedded-display-black-new,ACTIVE,features|other_features,CANONICAL
D018,SAME_PRODUCT_TITLE,french fitness onyx leverage horizontal bench press plate loaded (new),186876395836,french-fitness-onyx-leverage-horizontal-bench-press-plate-loaded-new,French Fitness Onyx Leverage Horizontal Bench Press Plate Loaded (New),2025-10-22T17:14:35Z,1,product_title,0,,,features|tech_specs|warranty_info,duplicate
D018,SAME_PRODUCT_TITLE,french fitness onyx leverage horizontal bench press plate loaded (new),186900709692,french-fitness-onyx-leverage-horizontal-bench-press-plate-loaded-new-1,French Fitness Onyx Leverage Horizontal Bench Press Plate Loaded (New),2025-10-26T19:37:28Z,4,product_title|features|tech_specs|warranty_info,1,french-fitness-onyx-leverage-horizontal-bench-press-plate-loaded-new,UNLISTED,features|tech_specs|warranty_info,CANONICAL
D019,SAME_PRODUCT_TITLE,"french fitness urethane 8 sided hex dumbbell set, 5-60 lbs - blank / no logo (new)",275975897404,french-fitness-urethane-8-sided-hex-dumbbell-set-5-60-lbs-blank-no-logo-new,"French Fitness Urethane 8 Sided Hex Dumbbell Set, 5-60 lbs - Blank / No Logo (New)",2026-06-30T07:13:03Z,1,product_title,0,,,features|other_tech_specs|warranty_info,duplicate
D019,SAME_PRODUCT_TITLE,"french fitness urethane 8 sided hex dumbbell set, 5-60 lbs - blank / no logo (new)",275976585532,french-fitness-urethane-8-sided-hex-dumbbell-set-5-60-lbs-blank-no-logo-new-1,"French Fitness Urethane 8 Sided Hex Dumbbell Set, 5-60 lbs - Blank / No Logo (New)",2026-06-30T07:24:00Z,4,product_title|features|other_tech_specs|warranty_info,1,french-fitness-urethane-8-sided-hex-dumbbell-set-5-60-lbs-blank-no-logo-new,UNLISTED,features|other_tech_specs|warranty_info,CANONICAL
D020,HANDLE_SUFFIX_FAMILY,french-fitness-3-tier-saddle-15-pair-dumbbell-rack-new,135406977340,french-fitness-3-tier-saddle-15-pair-dumbbell-rack-new,French Fitness 3 Tier Saddle 15 Pair Dumbbell Rack (New),2025-12-23T21:56:35Z,4,product_title|features|tech_specs|warranty_info,1,french-fitness-3-tier-saddle-15-pair-dumbbell-rack-new,ACTIVE,product_title|features|tech_specs,CANONICAL
D020,HANDLE_SUFFIX_FAMILY,french-fitness-3-tier-saddle-15-pair-dumbbell-rack-new,146703778108,french-fitness-3-tier-saddle-15-pair-dumbbell-rack-new-1,French Fitness 3 Tier Saddle 15 Pair Dumbbell Rack V2 (New),2026-08-05T17:29:35Z,4,product_title|features|tech_specs|warranty_info,1,french-fitness-3-tier-saddle-15-pair-dumbbell-rack-v2-new,ACTIVE,product_title|features|tech_specs,duplicate
D021,HANDLE_SUFFIX_FAMILY,french-fitness-specialty-multi-grip-olympic-swiss-bar-new,135510622524,french-fitness-specialty-multi-grip-olympic-swiss-bar-new,French Fitness Multi Grip Olympic Swiss Bar V2 (New),2025-12-07T18:33:13Z,5,product_title|features|tech_specs|other_tech_specs|warranty_info,1,french-fitness-multi-grip-olympic-swiss-bar-v2-new,ACTIVE,product_title|features|tech_specs,CANONICAL
D021,HANDLE_SUFFIX_FAMILY,french-fitness-specialty-multi-grip-olympic-swiss-bar-new,135822475580,french-fitness-specialty-multi-grip-olympic-swiss-bar-new-1,French Fitness Specialty Multi Grip Olympic Swiss Bar (New),2025-03-03T03:27:38Z,4,product_title|features|tech_specs|warranty_info,1,french-fitness-specialty-multigrip-olympic-swiss-bar-new,ACTIVE,product_title|features|tech_specs,duplicate
D022,HANDLE_SUFFIX_FAMILY,french-fitness-ffs-silver-seated-leg-press-new,135511015740,french-fitness-ffs-silver-seated-leg-press-new,French Fitness FFB Black Seated Leg Press (New),2025-11-08T09:24:37Z,6,product_title|features|tech_specs|weight_stacks|shipping_dims_weight_2|warranty_info,1,french-fitness-ffb-black-seated-leg-press-new,ACTIVE,product_title|features|tech_specs,CANONICAL
D022,HANDLE_SUFFIX_FAMILY,french-fitness-ffs-silver-seated-leg-press-new,135511245116,french-fitness-ffs-silver-seated-leg-press-new-1,French Fitness FFS Silver Seated Leg Press (New),2025-11-08T09:25:41Z,6,product_title|features|tech_specs|weight_stacks|shipping_dims_weight_2|warranty_info,1,french-fitness-ffs-silver-seated-leg-press-new,ACTIVE,product_title|features|tech_specs,duplicate
D023,HANDLE_SUFFIX_FAMILY,french-fitness-olympic-colored-bumper-plate-set-370-lbs-new,135943061820,french-fitness-olympic-colored-bumper-plate-set-370-lbs-new,French Fitness Olympic Colored Bumper Plate Set 370 lbs (New),2025-03-04T10:13:51Z,5,product_title|features|tech_specs|warranty_info|set_includes,1,french-fitness-olympic-colored-bumper-plate-set-370-lbs-new,ACTIVE,product_title|tech_specs|other_tech_specs|set_includes,duplicate
D023,HANDLE_SUFFIX_FAMILY,french-fitness-olympic-colored-bumper-plate-set-370-lbs-new,135943160124,french-fitness-olympic-colored-bumper-plate-set-370-lbs-new-1,French Fitness Olympic Colored Bumper Plate Set 370 lbs - Blank (New),2026-02-05T00:30:07Z,6,product_title|features|tech_specs|other_tech_specs|warranty_info|set_includes,1,french-fitness-olympic-colored-bumper-plate-set-370-lbs-blank-new,ACTIVE,product_title|tech_specs|other_tech_specs|set_includes,CANONICAL
D024,HANDLE_SUFFIX_FAMILY,sci-fit-iso-1000-upright-bike-remanufactured,136826454332,sci-fit-iso-1000-upright-bike-remanufactured,SciFit ISO 1000 Upright Bike (Remanufactured),2025-10-26T19:37:24Z,4,product_title|features|tech_specs|warranty_info,1,scifit-iso-1000-upright-bike-remanufactured,ACTIVE,product_title|features|tech_specs,CANONICAL
D024,HANDLE_SUFFIX_FAMILY,sci-fit-iso-1000-upright-bike-remanufactured,136832581948,sci-fit-iso-1000-upright-bike-remanufactured-1,SciFit ISO1000 Upright Bike (Remanufactured),2025-10-26T19:37:24Z,4,product_title|features|tech_specs|warranty_info,1,scifit-iso1000-upright-bike-remanufactured,ACTIVE,product_title|features|tech_specs,duplicate
D025,HANDLE_SUFFIX_FAMILY,woodway-4-front-treadmill-w-personal-trainer-2024-display-remanufactured,144916152636,woodway-4-front-treadmill-w-personal-trainer-2024-display-remanufactured,Woodway 4Front Treadmill w/Personal Trainer 2024 Display (Remanufactured),2026-03-24T15:26:26Z,6,product_title|other_features|tech_specs|other_tech_specs|other_comparison_charts|warranty_info,1,woodway-4front-treadmill-w-personal-trainer-2024-display-remanufactured,ACTIVE,product_title|other_features|tech_specs|other_comparison_charts,CANONICAL
D025,HANDLE_SUFFIX_FAMILY,woodway-4-front-treadmill-w-personal-trainer-2024-display-remanufactured,144918282556,woodway-4-front-treadmill-w-personal-trainer-2024-display-remanufactured-1,Woodway 4Front Treadmill w/HDTV (Remanufactured),2026-03-24T15:26:26Z,6,product_title|other_features|tech_specs|other_tech_specs|other_comparison_charts|warranty_info,1,woodway-4front-treadmill-w-hdtv-remanufactured,ACTIVE,product_title|other_features|tech_specs|other_comparison_charts,duplicate
D026,HANDLE_SUFFIX_FAMILY,star-trac-6-series-6-tr-treadmill-w-24-embedded-display-black-new,173610959164,star-trac-6-series-6-tr-treadmill-w-24-embedded-display-black-new,"Star Trac 6 Series 6TR Treadmill w/16"" Embedded Display - Black (New)",2025-10-07T12:25:52Z,5,product_title|features|other_features|tech_specs|warranty_info,0,,,product_title|features|other_features,duplicate
D026,HANDLE_SUFFIX_FAMILY,star-trac-6-series-6-tr-treadmill-w-24-embedded-display-black-new,182385017148,star-trac-6-series-6-tr-treadmill-w-24-embedded-display-black-new-1,"Star Trac 6 Series 6TR Treadmill w/24"" Embedded Display - Black (New)",2026-02-05T02:12:08Z,5,product_title|features|other_features|tech_specs|warranty_info,1,star-trac-6-series-6tr-treadmill-w-24-embedded-display-black-new,ACTIVE,product_title|features|other_features,CANONICAL
D027,HANDLE_SUFFIX_FAMILY,french-fitness-fsr-110-jammer-arms-new,195353444668,french-fitness-fsr-110-jammer-arms-new,French Fitness FSR110 Jammer Arms (New),2026-04-25T20:16:39Z,7,product_title|features|benefits|tech_specs|frequently_asked_questions|shipping_dims_weight_2|warranty_info,1,french-fitness-fsr110-jammer-arms-new,ACTIVE,product_title|features|benefits|tech_specs|buying_guide|frequently_asked_questions|shipping_dims_weight_2,duplicate
D027,HANDLE_SUFFIX_FAMILY,french-fitness-fsr-110-jammer-arms-new,195363504444,french-fitness-fsr-110-jammer-arms-new-1,French Fitness T850 Commercial Treadmill w/LED Console (New),2026-04-30T13:28:40Z,8,product_title|features|benefits|tech_specs|buying_guide|frequently_asked_questions|shipping_dims_weight_2|warranty_info,1,french-fitness-t850-commercial-treadmill-w-led-console-new,ACTIVE,product_title|features|benefits|tech_specs|buying_guide|frequently_asked_questions|shipping_dims_weight_2,CANONICAL
C001,IDENTICAL_CONTENT_DIFFERENT_PRODUCTS,sha256:8a7e729624d74501,135359299900,expresso-go-recumbent-bike-new,Expresso GO Recumbent Bike (New),2025-10-26T19:37:07Z,4,product_title|features|tech_specs|warranty_info,1,expresso-go-recumbent-bike-new,ACTIVE,product_title,n/a - not a merge target
C001,IDENTICAL_CONTENT_DIFFERENT_PRODUCTS,sha256:8a7e729624d74501,136388772156,expresso-go-recumbent-bike-remanufactured,Expresso GO Recumbent Bike (Remanufactured),2025-09-07T16:25:23Z,4,product_title|features|tech_specs|warranty_info,1,expresso-go-recumbent-bike-remanufactured,ACTIVE,product_title,n/a - not a merge target
