id,custom_label_3,custom_label_4
FF-SC600,p4_tail,
FF-SBR-10,p4_tail,
FF-SB90,p4_tail,
FF-SC15-Black,p1_hero,Stretch Cage Series
FF-SC15,p1_hero,Stretch Cage Series
FF-SB80,p4_tail,
FF-SB70,p4_tail,
FF-SB275,p4_tail,
FF-SB180,p4_tail,
FF-SB14-100,p3_catalog,
FF-SB100,p3_catalog,
FF-SB-100,p4_tail,
FF-RRGF,p4_tail,
FF-RR-WCA,p4_tail,
FF-RR-U-91,p4_tail,
FF-RR-U-84,p4_tail,
FF-RR-U-72,p4_tail,
FF-RR-U-142,p3_catalog,
FF-RR-U-108,p4_tail,
FF-RR-SPA,p4_tail,
FF-RR-SBHA,p4_tail,
FF-RR-SAA,p4_tail,
FF-RR-U-130,p4_tail,
FF-RR-U-120,p4_tail,
FF-RR-SA-V2HD,p4_tail,
FF-RR-RMUA-26MM,p4_tail,
FF-RR-PBH,p4_tail,
FF-RR-MSGPUB,p4_tail,
FF-RR-MGPUB,p4_tail,
FF-RR-MBA,p4_tail,
FF-RR-LS,p4_tail,
FF-RR-LPLW,p4_tail,
FF-RR-KBR-71,p4_tail,
FF-RR-KBR-43,p4_tail,
FF-RR-JBS-MCG,p4_tail,
FF-RR-JBS-71-V1-CM,p4_tail,
FF-RR-JB-UCB,p4_tail,
FF-RR-JAA,p4_tail,
FF-RR-FT-CAVE,p4_tail,Rack & Rig Series
FF-RR-FT-3TS78,p4_tail,Rack & Rig Series
FF-RR-FT-3TS49,p4_tail,Rack & Rig Series
FF-RR-FPBA,p4_tail,
FF-RR-DWBT-V2,p3_catalog,
FF-RR-DSBA-71,p4_tail,
FF-RR-DSBA-43,p4_tail,
FF-RR-DPB-71,p4_tail,
FF-RR-DPB-43,p4_tail,
FF-RR-DBR-71,p4_tail,
FF-RR-DBR-43,p4_tail,
FF-RR-CC-SB2,p4_tail,
FF-RR-BPR-71,p4_tail,
FF-RR-BR-71,p4_tail,
FF-RR-BPR-43,p4_tail,
FF-RMB6-25-MBR10,p4_tail,
FF-RMB-S6-620,p4_tail,
FF-RMB-S10-430,p4_tail,
FF-RIG9,p4_tail,Rack & Rig Series
