feed,current_id,new_id,product_id,title,in_tims_114
googleshoppingfs,10145616986428,ST-8RDE-LED-60,10145616986428,"Star Trac 8 Series Rear Drive Elliptical w/LED - Commercial Grade, Ful",YES
googleshoppingfs,10145641857340,ST-8CT-16IN-60,10145641857340,"Star Trac 8 Series Cross Trainer w/16"" Touch Display - Commercial Grad",YES
googleshoppingfs,10145740325180,ST-8CT-LED-60,10145740325180,"Star Trac 8 Series Cross Trainer w/LED - Commercial Grade, Full Manufa",YES
googleshoppingfs,10175750242620,ST-8RB-16IN-60,10175750242620,"Star Trac 8 Series Recumbent Bike w/16"" Touch Display",YES
googleshoppingfs,10175768723772,ST-8RB-LED-60,10175768723772,"Star Trac 8 Series Recumbent Bike w/LED - Commercial Grade, Full Manuf",YES
googleshoppingfs,10176330301756,ST-8UB-LED-60,10176330301756,"Star Trac 8 Series Upright Bike w/LED - Commercial Grade, Full Manufac",YES
googleshoppingfs,10177568473404,ST-8UB-16IN-60,10177568473404,"Star Trac 8 Series Upright Bike w/16"" Touch Display - Commercial Grade",YES
googleshoppingfs,10177616675132,ST-8VS-16IN-60,10177616675132,"Star Trac 8 Series Versastrider w/16"" Touch Display - Commercial Grade",YES
googleshoppingfs,10177840841020,ST-8VS-LED-60,10177840841020,"Star Trac 8 Series Versastrider w/LED - Commercial Grade, Full Manufac",YES
googleshoppingfs,10225631887676,ST-6CT-16IN-60,10225631887676,"Star Trac 6 Series Cross Trainer w/16"" Touch Display - Commercial Grad",YES
googleshoppingfs,10225641554236,ST-6CT-LED-60,10225641554236,"Star Trac 6 Series Cross Trainer w/LED - Commercial Grade, Full Manufa",YES
googleshoppingfs,10225691263292,ST-6CT-LCD-60,10225691263292,"Star Trac 6 Series Cross Trainer w/LCD - Commercial Grade, Full Manufa",YES
googleshoppingfs,10227267469628,ST-6RB-16IN-60,10227267469628,"Star Trac 6 Series Recumbent Bike w/16"" Touch Display - Commercial Gra",YES
googleshoppingfs,10227283624252,ST-6RB-LED-60,10227283624252,"Star Trac 6 Series Recumbent Bike w/LED - Commercial Grade, Full Manuf",YES
googleshoppingfs,10231481499964,ST-6RB-LCD-60,10231481499964,"Star Trac 6 Series Recumbent Bike w/LCD - Commercial Grade, Full Manuf",YES
googleshoppingfs,10233224855868,ST-6UB-16IN-60,10233224855868,"Star Trac 6 Series Upright Bike w/16"" Touch Display - Commercial Grade",YES
googleshoppingfs,10234029703484,ST-6UB-LED-60,10234029703484,"Star Trac 6 Series Upright Bike w/LED - Commercial Grade, Full Manufac",YES
googleshoppingfs,10234173653308,ST-6UB-LCD-60,10234173653308,"Star Trac 6 Series Upright Bike w/LCD - Commercial Grade, Full Manufac",YES
googleshoppingfs,10440921809212,PRECOR-C404EC,10440921809212,Precor C404EC Experience Strength C-Line Chest Press - Remanufactured ,YES
googleshoppingfs,9878802334012,SM-TC5,9878802334012,"StairMaster TreadClimber 5 - Remanufactured in USA, 1-Year Parts & Lab",YES
googleshoppingfs,9878869147964,ST-10TRX-19-REMAN,9878869147964,"Star Trac 10 Series Freerunner Treadmill w/19"" Embedded Display - Rema",YES
