current_id,new_id_sku,mpn,title,price,condition,availability
10175750242620,ST-8RB-16IN-60,9-8170-8RB-16IN-60,"Star Trac 8 Series Recumbent Bike w/16"" Touch Display",9899 USD,new,in stock
10177840841020,ST-8VS-LED-60,9-6190-8VS-LED-60,"Star Trac 8 Series Versastrider w/LED - Commercial Grade, Full Manufacturer's Warranty",10599 USD,new,in stock
10177616675132,ST-8VS-16IN-60,9-6190-8VS-16IN-60,"Star Trac 8 Series Versastrider w/16"" Touch Display - Commercial Grade, Full Manufacturer's Warranty",14999 USD,new,in stock
10177568473404,ST-8UB-16IN-60,9-8160-8UB-16IN-60,"Star Trac 8 Series Upright Bike w/16"" Touch Display - Commercial Grade, Full Manufacturer's Warranty",9499 USD,new,in stock
10145740325180,ST-8CT-LED-60,9-6170-8CT-LED-60,"Star Trac 8 Series Cross Trainer w/LED - Commercial Grade, Full Manufacturer's Warranty",8199 USD,new,in stock
10145641857340,ST-8CT-16IN-60,9-6170-8CT-16IN-60,"Star Trac 8 Series Cross Trainer w/16"" Touch Display - Commercial Grade, Full Manufacturer's Warranty",12499 USD,new,in stock
10145616986428,ST-8RDE-LED-60,9-6180-8RDE-LED-60,"Star Trac 8 Series Rear Drive Elliptical w/LED - Commercial Grade, Full Manufacturer's Warranty",7499 USD,new,in stock
10145609482556,ST-8RDE-16IN-60,9-6180-8RDE-16IN-60,"Star Trac 8 Series Rear Drive Elliptical w/16"" Touch Display - Commercial Grade, Full Manufacturer's Warranty",11799 USD,new,in stock
10143925928252,ST-8TR-110-LED-MI-60,9-9321-8TR-110-LED-MI-60,"Star Trac 8 Series TR Treadmill w/LED - Commercial Grade, Full Manufacturer's Warranty",9199 USD,new,in stock
10143915147580,ST-8TR-110-24IN-60,9-9321-8TR-110-24IN-60,"Star Trac 8 Series TR Treadmill w/24"" Touch Display - Commercial Grade, Full Manufacturer's Warranty",13999 USD,new,in stock
10138129301820,ST-6TR-110-16IN,ST-6TR-110-16IN,"Star Trac 6 Series 6TR Treadmill w/16"" Embedded Display - Black - Commercial Grade, Full Manufacturer's Warranty",10899 USD,new,in stock
10138120585532,ST-6TR-110-LED,ST-6TR-110-LED,"Star Trac 6 Series 6TR Treadmill w/LED - Black - Commercial Grade, Full Manufacturer's Warranty",6199 USD,new,in stock
10129933762876,ST-6TR-110-24IN,9-9331-6TR-110-24IN-60,"Star Trac 6 Series 6TR Treadmill w/24"" Embedded Display - Black - Commercial Grade, Full Manufacturer's Warranty",11299 USD,new,in stock
10104579850556,ST-6TR-110-LCD,9-9331-6TR-110-LCD-60,"Star Trac 6 Series 6TR Treadmill w/LCD - Black - Commercial Grade, Full Manufacturer's Warranty",5799 USD,new,in stock
10012773548348,ST-8TRX-110-LED-MI-60,9-9311-8TRX-110-LED-MI-60,"Star Trac 8 Series TRX Treadmill w/LED - Commercial Grade, Full Manufacturer's Warranty",10099 USD,new,in stock
10012746219836,ST-8TRX-110-24IN-60,9-9311-8TRX-110-24IN-60,"Star Trac 8 Series TRX Treadmill w/24"" Touch Display - Commercial Grade, Full Manufacturer's Warranty",14849 USD,new,in stock
10012673343804,ST-10TRX-110-LED-MI-79,9-9301-10TRX-110-LED-MI-79,"Star Trac 10 Series Freerunner w/LED - Commercial Grade, Full Manufacturer's Warranty",13949 USD,new,in stock
10012639789372,ST-10TRX-110-24IN-79,9-9301-10TRX-110-24IN-79,"Star Trac 10 Series TRX Freerunner w/24"" Touch Display - Commercial Grade, Full Manufacturer's Warranty",18679 USD,new,in stock
