feed,product_id,variant_id,current_id,proposed_id,sku,variants_on_product,rollout_status,legacy_gmc_id,in_tims_114
googleshoppingfs,10177840841020,52272904732988,10177840841020,ST-8VS-LED-60,ST-8VS-LED-60,1,pending_approval_star_trac,,YES
googleshoppingfs,10225631887676,52446159372604,10225631887676,ST-6CT-16IN-60,ST-6CT-16IN-60,1,pending_approval_star_trac,,YES
googleshoppingfs,10225641554236,52446250074428,10225641554236,ST-6CT-LED-60,ST-6CT-LED-60,1,pending_approval_star_trac,,YES
googleshoppingfs,10225691263292,52446398120252,10225691263292,ST-6CT-LCD-60,ST-6CT-LCD-60,1,pending_approval_star_trac,,YES
googleshoppingfs,10227267469628,52451698737468,10227267469628,ST-6RB-16IN-60,ST-6RB-16IN-60,1,pending_approval_star_trac,,YES
googleshoppingfs,10227283624252,52451777216828,10227283624252,ST-6RB-LED-60,ST-6RB-LED-60,1,pending_approval_star_trac,,YES
googleshoppingfs,10231481499964,52463342780732,10231481499964,ST-6RB-LCD-60,ST-6RB-LCD-60,1,pending_approval_star_trac,,YES
googleshoppingfs,10233224855868,52473491685692,10233224855868,ST-6UB-16IN-60,ST-6UB-16IN-60,1,pending_approval_star_trac,,YES
googleshoppingfs,10234029703484,52475313324348,10234029703484,ST-6UB-LED-60,ST-6UB-LED-60,1,pending_approval_star_trac,,YES
googleshoppingfs,10234173653308,52475585659196,10234173653308,ST-6UB-LCD-60,ST-6UB-LCD-60,1,pending_approval_star_trac,,YES
googleshoppingfs,10440921809212,53942706241852,10440921809212,PRECOR-C404EC,PRECOR-C404EC,1,(unset),,YES
googleshoppingfs,9878802334012,50748974399804,9878802334012,SM-TC5,SM-TC5,1,pending_approval_star_trac,,YES
googleshoppingfs,9878869147964,50749071327548,9878869147964,ST-10TRX-19-REMAN,ST-10TRX-19-REMAN,1,pending_approval_star_trac,,YES
googleshoppingfs,9878869737788,50749072507196,9878869737788,ST-10TRX-20-ATSC,ST-10TRX-20-ATSC,1,pending_approval_star_trac,,YES
googleshoppingfs,9878872097084,50749075423548,9878872097084,ST-3140-KINTP0,ST-3140-KINTP0,1,pending_approval_star_trac,,YES
googleshoppingfs,9878873112892,50749076668732,9878873112892,elite6230,elite6230,1,pending_approval_star_trac,,YES
googleshoppingfs,9878873243964,50749076799804,9878873243964,ST-3150-KINTP0,ST-3150-KINTP0,1,pending_approval_star_trac,,YES
googleshoppingfs,9878874325308,50749077979452,9878874325308,ST-3150-KINTP0-SILVER,ST-3150-KINTP0-SILVER,1,pending_approval_star_trac,,YES
googleshoppingfs,9878875341116,50749083812156,9878875341116,ST-4060-KINTP0,ST-4060-KINTP0,1,pending_approval_star_trac,,YES
googleshoppingfs,9878876029244,50749084664124,9878876029244,ST-4CT-10-TS,ST-4CT-10-TS,1,pending_approval_star_trac,,YES
googleshoppingfs,9878876815676,50749085679932,9878876815676,ST-4CT-10IN,ST-4CT-10IN,1,pending_approval_star_trac,,YES
googleshoppingfs,9878877929788,50749087580476,9878877929788,ST-4CT-15-ATSC,ST-4CT-15-ATSC,1,pending_approval_star_trac,,YES
googleshoppingfs,9878878519612,50749088432444,9878878519612,ST-4RB-10-TS,ST-4RB-10-TS,1,pending_approval_star_trac,,YES
googleshoppingfs,9878878945596,50749088989500,9878878945596,ST-4RB-10IN,ST-4RB-10IN,1,pending_approval_star_trac,,YES
googleshoppingfs,9878879830332,50749092266300,9878879830332,ST-4RB-15-ATSC,ST-4RB-15-ATSC,1,pending_approval_star_trac,,YES
googleshoppingfs,9878880747836,50749094134076,9878880747836,ST-4TR-10-TS,ST-4TR-10-TS,1,pending_approval_star_trac,,YES
googleshoppingfs,9878882386236,50749097836860,9878882386236,ST-4TR-10IN,ST-4TR-10IN,1,pending_approval_star_trac,,YES
googleshoppingfs,9878885237052,50749103210812,9878885237052,ST-4TR-15-ATSC,ST-4TR-15-ATSC,1,pending_approval_star_trac,,YES
googleshoppingfs,9878886285628,50749105176892,9878886285628,ST-4UB-10-TS,ST-4UB-10-TS,1,pending_approval_star_trac,,YES
googleshoppingfs,9878887792956,50749107634492,9878887792956,ST-4UB-10IN,ST-4UB-10IN,1,pending_approval_star_trac,,YES
googleshoppingfs,9878889857340,50749110780220,9878889857340,ST-4UB-15-ATSC,ST-4UB-15-ATSC,1,pending_approval_star_trac,,YES
googleshoppingfs,9878891036988,50749113139516,9878891036988,ST-8CT-16-ATSC,ST-8CT-16-ATSC,1,pending_approval_star_trac,,YES
googleshoppingfs,9878893527356,50749117235516,9878893527356,ST-8RB-16-ATSC,ST-8RB-16-ATSC,1,pending_approval_star_trac,,YES
googleshoppingfs,9878898540860,52893609034044,9878898540860,ST-8RDE-16-ATSC,ST-8RDE-16-ATSC,2,hold_variant,,YES
googleshoppingfs,9878898540860,52893609066812,9878898540860,ST-8RDE-16-ATSC-OOB,ST-8RDE-16-ATSC-OOB,2,hold_variant,,YES
googleshoppingfs,9878900179260,52892661252412,9878900179260,ST-8TR-20-ATSC,ST-8TR-20-ATSC,2,hold_variant,,YES
googleshoppingfs,9878900179260,52892661285180,9878900179260,ST-8TR-20-ATSC-OOB,ST-8TR-20-ATSC-OOB,2,hold_variant,,YES
googleshoppingfs,9878902636860,50749148070204,9878902636860,ST-8TRX-20-ATSC,ST-8TRX-20-ATSC,1,pending_approval_star_trac,,YES
googleshoppingfs,9878904209724,50749150527804,9878904209724,ST-8UB-16-ATSC,ST-8UB-16-ATSC,1,pending_approval_star_trac,,YES
googleshoppingfs,9878905291068,50749152657724,9878905291068,ST-8VB-79QS,ST-8VB-79QS,1,pending_approval_star_trac,,YES
googleshoppingfs,9878906241340,50749154853180,9878906241340,ST-8VS-16-ATSC,ST-8VS-16-ATSC,1,pending_approval_star_trac,,YES
googleshoppingfs,9878907355452,50749156753724,9878907355452,ST-FL114,ST-FL114,1,pending_approval_star_trac,,YES
googleshoppingfs,9878908010812,50749157638460,9878908010812,st-imab,st-imab,1,pending_approval_star_trac,,YES
googleshoppingfs,9878908567868,50749159670076,9878908567868,ST-KUSAP0,ST-KUSAP0,1,pending_approval_star_trac,,YES
googleshoppingfs,9878909124924,50749161406780,9878909124924,ST-KUSAP3,ST-KUSAP3,1,pending_approval_star_trac,,YES
googleshoppingfs,9878909944124,50749162619196,9878909944124,st4400,st4400,1,pending_approval_star_trac,,YES
googleshoppingfs,9878910763324,50749163766076,9878910763324,ST4TR15IN2024,ST4TR15IN2024,1,pending_approval_star_trac,,YES
googleshoppingfs,9878911549756,50749164650812,9878911549756,st5600,st5600,1,pending_approval_star_trac,,YES
googleshoppingfs,9878912172348,50749165601084,9878912172348,st6430,st6430,1,pending_approval_star_trac,,YES
googleshoppingfs,9878912663868,50749166354748,9878912663868,st7600,st7600,1,pending_approval_star_trac,,YES
googleshoppingfs,9878916104508,50749177364796,9878916104508,StarECT,StarECT,1,pending_approval_star_trac,,YES
googleshoppingfs,9878918005052,50749182935356,9878918005052,stblade,stblade,1,pending_approval_star_trac,,YES
googleshoppingfs,9878919184700,50749187981628,9878919184700,ste-e-tc,ste-e-tc,1,pending_approval_star_trac,,YES
