feed,current_numeric_id,product_id,correct_sku_id,collision,verdict,warning,sku_exists_on_product,product_status,sku_unique_catalogwide
googleshoppingfs,9878802334012,9878802334012,SM-TC5,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878869147964,9878869147964,ST-10TRX-19-REMAN,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878869737788,9878869737788,ST-10TRX-20-ATSC,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878872097084,9878872097084,ST-3140-KINTP0,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878873112892,9878873112892,elite6230,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878873243964,9878873243964,ST-3150-KINTP0,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878874325308,9878874325308,ST-3150-KINTP0-SILVER,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878875341116,9878875341116,ST-4060-KINTP0,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878876029244,9878876029244,ST-4CT-10-TS,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878876815676,9878876815676,ST-4CT-10IN,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878877929788,9878877929788,ST-4CT-15-ATSC,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878878519612,9878878519612,ST-4RB-10-TS,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878878945596,9878878945596,ST-4RB-10IN,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878879830332,9878879830332,ST-4RB-15-ATSC,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878880747836,9878880747836,ST-4TR-10-TS,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878882386236,9878882386236,ST-4TR-10IN,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878885237052,9878885237052,ST-4TR-15-ATSC,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878886285628,9878886285628,ST-4UB-10-TS,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878887792956,9878887792956,ST-4UB-10IN,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878889857340,9878889857340,ST-4UB-15-ATSC,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878891036988,9878891036988,ST-8CT-16-ATSC,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878893527356,9878893527356,ST-8RB-16-ATSC,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878898540860,9878898540860,ST-8RDE-16-ATSC,YES,CHANGE + RESTORES DROPPED OFFER,,YES,ACTIVE,YES
googleshoppingfs,9878898540860,9878898540860,ST-8RDE-16-ATSC-OOB,YES,CHANGE + RESTORES DROPPED OFFER,duplicate SKU on DRAFT product 10456972788028,YES,ACTIVE,NO
googleshoppingfs,9878900179260,9878900179260,ST-8TR-20-ATSC,YES,CHANGE + RESTORES DROPPED OFFER,,YES,ACTIVE,YES
googleshoppingfs,9878900179260,9878900179260,ST-8TR-20-ATSC-OOB,YES,CHANGE + RESTORES DROPPED OFFER,duplicate SKU on DRAFT product 10456978325820,YES,ACTIVE,NO
googleshoppingfs,9878902636860,9878902636860,ST-8TRX-20-ATSC,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878904209724,9878904209724,ST-8UB-16-ATSC,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878905291068,9878905291068,ST-8VB-79QS,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878906241340,9878906241340,ST-8VS-16-ATSC,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878907355452,9878907355452,ST-FL114,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878908010812,9878908010812,st-imab,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878908567868,9878908567868,ST-KUSAP0,,CHANGE,,YES,ACTIVE,YES
