metaobject_id,name,current,correct,products,product_id,sku,condition_state,status,in_feed_collection
gid://shopify/Metaobject/125115629884,Golden Designs GDI-8526-01 Kaskinen 6 Person Hybrid (PureTech Full Spe,New,new,1,9878793519420,GDI-8526-01,New,ACTIVE,no
gid://shopify/Metaobject/125115695420,GoldenDesigns GDI-8535-01 Near Zero EMF Far IR Sauna (New) -- GDI-8535,New,new,1,9878794305852,GDI-8535-01,New,ARCHIVED,no
gid://shopify/Metaobject/125115728188,Golden Designs GDI-B002-01 St. Moritz 2 Person Barrel Traditional Saun,New,new,1,9878794928444,GDI-B002-01,New,ACTIVE,no
gid://shopify/Metaobject/125115760956,Golden Designs GDI-B004-01 Arosa 4 Person Barrel Traditional Sauna - P,New,new,1,9878795813180,GDI-B004-01,New,ACTIVE,no
gid://shopify/Metaobject/125115793724,Golden Designs GDI-B006-01 Klosters 6 Person Barrel Traditional Sauna ,New,new,1,9878796796220,GDI-B006-01,New,ACTIVE,no
gid://shopify/Metaobject/125115826492,Golden Designs GDI-B024-01 Zurich 4 Person Barrel with Bronze Privacy ,New,new,1,9878797680956,GDI-B024-01,New,ACTIVE,no
gid://shopify/Metaobject/235977474364,VersaClimber H Home Vertical Climber (New) -- VCH,New,new,1,10339718627644,H-BT,New,ACTIVE,no
gid://shopify/Metaobject/125116547388,ProRower Rowing Machine H2O Club Series RX-950 (New) -- H2O-RX-950,New,new,1,9878823239996,H2O-RX-950,New,ARCHIVED,no
gid://shopify/Metaobject/125123002684,Life Fitness SYNRGY90 CC (New) -- LF-SYNRGY90CC,New,new,1,9878960800060,LF-SYNRGY90CC,New,ACTIVE,yes
gid://shopify/Metaobject/127713182012,GoldenDesigns MX-J206-01 Hemlock LEMF Maxxus Far IR Sauna (New) -- MX-,New,new,1,9879200268604,MX-J206-01,New,ACTIVE,no
gid://shopify/Metaobject/127713280316,GoldenDesigns MX-J206-01-ZF Maxxus Seattle 2 Person Near Zero EMF FAR ,New,new,1,9879201186108,MX-J206-01-ZF,New,ACTIVE,no
gid://shopify/Metaobject/127713542460,GoldenDesigns MX-J206-02S Maxxus 2-Person Low EMF FAR Infrared Sauna (,New,new,1,9879202267452,MX-J206-02S,New,ACTIVE,no
gid://shopify/Metaobject/127713607996,"GoldenDesigns MX-J306-01 Canadian Hemlock Maxxus ""Bellevue"" 3 Person L",New,new,1,9879203152188,MX-J306-01,New,ACTIVE,no
gid://shopify/Metaobject/127713706300,GoldenDesigns MX-J306-01-ZF Maxxus Bellevue 3 Person Near Zero EMF FAR,New,new,1,9879204036924,MX-J306-01-ZF,New,ACTIVE,no
gid://shopify/Metaobject/127713771836,GoldenDesigns MX-K206-01 Hemlock LEMF Maxxus Far IR Sauna (New) -- MX-,New,new,1,9879204856124,MX-K206-01,New,ACTIVE,no
gid://shopify/Metaobject/127713870140,GoldenDesigns MX-K206-01-ZF Hemlock Maxxus 2 Person Near Zero EMF FAR ,New,new,1,9879205904700,MX-K206-01-ZF,New,ACTIVE,no
gid://shopify/Metaobject/127714066748,"GoldenDesigns MX-K206-01-ZF CED Canadian Red Cedar Maxxus ""Cholet Edit",New,new,1,9879207248188,MX-K206-01-ZF-CED,New,ARCHIVED,no
gid://shopify/Metaobject/127714132284,GoldenDesigns MX-K206-01 Red Cedar LEMF Maxxus Far IR Sauna (New) -- M,New,new,1,9879207772476,MX-K206-01C,New,ARCHIVED,no
gid://shopify/Metaobject/127714197820,GoldenDesigns MX-K306-01 Hemlock LEMF Maxxus Far IR Sauna (New) -- MX-,New,new,1,9879208558908,MX-K306-01,New,ACTIVE,no
gid://shopify/Metaobject/127714492732,GoldenDesigns MX-K306-01-ZF Hemlock Maxxus 3 Person Near Zero EMF FAR ,New,new,1,9879209574716,MX-K306-01-ZF,New,ACTIVE,no
gid://shopify/Metaobject/127714558268,GoldenDesigns MX-K306-01-ZF CED Canadian Red Cedar Maxxus 3 Person Nea,New,new,1,9879210295612,MX-K306-01-ZF-CED,New,ACTIVE,no
gid://shopify/Metaobject/127714689340,GoldenDesigns MX-K306-01 Red Cedar LEMF Maxxus Far IR Sauna (New) -- M,New,new,1,9879211376956,MX-K306-01C,New,ACTIVE,no
gid://shopify/Metaobject/127714722108,GoldenDesigns MX-K356-01 Hemlock LEMF Maxxus Far IR Sauna (New) -- MX-,New,new,1,9879212196156,MX-K356-01,New,ACTIVE,no
gid://shopify/Metaobject/127714820412,GoldenDesigns MX-K356-01-ZF Hemlock Maxxus 3 Person Corner Near Zero E,New,new,1,9879213113660,MX-K356-01-ZF,New,ACTIVE,no
gid://shopify/Metaobject/127714918716,GoldenDesigns MX-K356-01-ZF CED Canadian Red Cedar Maxxus 3 Person Cor,New,new,1,9879213998396,MX-K356-01-ZF-CED,New,ACTIVE,no
gid://shopify/Metaobject/127715017020,GoldenDesigns MX-K356-01 Red Cedar LEMF Maxxus Far IR Sauna (New) -- M,New,new,1,9879215079740,MX-K356-01C,New,ACTIVE,no
gid://shopify/Metaobject/127715148092,GoldenDesigns MX-K406-01 Hemlock LEMF Maxxus Far IR Sauna (New) -- MX-,New,new,1,9879215964476,MX-K406-01,New,ACTIVE,no
gid://shopify/Metaobject/127715246396,GoldenDesigns MX-K406-01-ZF Hemlock Maxxus 4 Person Near Zero EMF FAR ,New,new,1,9879216783676,MX-K406-01-ZF,New,ACTIVE,no
gid://shopify/Metaobject/127715311932,GoldenDesigns MX-K406-01-ZF CED Maxxus 4 Person Near Zero EMF FAR Infr,New,new,1,9879217668412,MX-K406-01-ZF-CED,New,ACTIVE,no
gid://shopify/Metaobject/127715377468,GoldenDesigns MX-K406-01 Red Cedar LEMF Maxxus Far IR Sauna (New) -- M,New,new,1,9879218585916,MX-K406-01C,New,ACTIVE,no
gid://shopify/Metaobject/214124429628,"GoldenDesign MX-LS2-01 Maxxus ""Serenity"" Dual Tech 2 Person Low EMF FA",New,new,1,10266387022140,MX-LS2-01,New,ACTIVE,no
gid://shopify/Metaobject/127715508540,GoldenDesigns MX-M206-01-FS CED Canadian Red Cedar Maxxus 2 Person Ful,New,new,1,9879220126012,MX-M206-01-FS-CED,New,ACTIVE,no
gid://shopify/Metaobject/127715606844,GoldenDesigns MX-M306-01-FS CED Canadian Red Cedar Maxxus 3 Person Ful,New,new,1,9879220945212,MX-M306-01-FS-CED,New,ACTIVE,no
gid://shopify/Metaobject/127715705148,GoldenDesigns MX-M356-01-FS CED Maxxus 3-Person Corner Full Spectrum N,New,new,1,9879221764412,MX-M356-01-FS-CED,New,ACTIVE,no
gid://shopify/Metaobject/127715770684,GoldenDesigns S-Line MX-S106-01 Maxxus Low EMF FAR Infrared Sauna Cana,New,new,1,9879222550844,MX-S106-01,New,ACTIVE,no
gid://shopify/Metaobject/127715868988,GoldenDesigns S-Line MX-S106-01-ULEMF-Elite Maxxus Ultra Low EMF FAR I,New,new,1,9879223206204,MX-S106-01-ULEMF-Elite,New,ACTIVE,no
gid://shopify/Metaobject/127715934524,GoldenDesigns S-Line MX-S206-01 Maxxus Low EMF FAR Infrared Sauna Cana,New,new,1,9879223894332,MX-S206-01,New,ACTIVE,no
gid://shopify/Metaobject/127716229436,GoldenDesigns S-Line MX-S206-01-FS-PC Maxxus Full Spectrum Infrared Sa,New,new,1,9879224516924,MX-S206-01-FS-PC,New,ACTIVE,no
gid://shopify/Metaobject/127716294972,GoldenDesigns S-Line MX-S206-01-ULEMF-Elite Maxxus Ultra Low EMF FAR I,New,new,1,9879225205052,MX-S206-01-ULEMF-Elite,New,ACTIVE,no
gid://shopify/Metaobject/127716360508,GoldenDesigns S-Line MX-S306-01 Maxxus Low EMF FAR Infrared Sauna Cana,New,new,1,9879226417468,MX-S306-01,New,ACTIVE,no
gid://shopify/Metaobject/127716458812,GoldenDesigns S-Line MX-S306-01-FS-PC Maxxus Full Spectrum Infrared Sa,New,new,1,9879227728188,MX-S306-01-FS-PC,New,ACTIVE,no
gid://shopify/Metaobject/127716557116,GoldenDesigns S-Line MX-S306-01-ULEMF-Elite Maxxus Ultra Low EMF FAR I,New,new,1,9879229038908,MX-S306-01-ULEMF-Elite,New,ACTIVE,no
gid://shopify/Metaobject/127703777596,Marpo Kinetics Functional Tire Trainer (New) -- MarpoFTT,New,new,1,9879116579132,MarpoFTT,New,ACTIVE,no
gid://shopify/Metaobject/127703908668,Marpo Kinetics V250 Viper Rope Trainer (New) -- MarpoV250C,New,new,1,9879119069500,MarpoV250C,New,ARCHIVED,no
gid://shopify/Metaobject/127725732156,Nautilus Impact Standing Calf 9NA-S1309-60AGS (New) -- NAU-9NAS130960A,New,new,1,9879261446460,NAU-9NAS130960AGS,New,ACTIVE,yes
