Type,Page URL
product,https://www.fitnesssuperstore.com/products/french-fitness-dumbbell-workout-training-charts-posters-new
product,https://www.fitnesssuperstore.com/products/french-fitness-medicine-ball-workout-training-charts-posters-new
product,https://www.fitnesssuperstore.com/products/french-fitness-resistance-band-workout-training-charts-posters-new
product,https://www.fitnesssuperstore.com/products/french-fitness-barbell-workout-training-charts-posters-new
product,https://www.fitnesssuperstore.com/products/french-fitness-kettlebell-workout-training-charts-posters-new
product,https://www.fitnesssuperstore.com/products/french-fitness-3-tier-saddle-15-pair-dumbbell-rack-v2-new
product,https://www.fitnesssuperstore.com/products/french-fitness-sm900-stairmill-w-led-new
product,https://www.fitnesssuperstore.com/products/true-fitness-xc900-elliptical-w-envision-16-console-remanufactured
product,https://www.fitnesssuperstore.com/products/french-fitness-8-combination-universal-storage-rack-new
product,https://www.fitnesssuperstore.com/products/technogym-new-recline-excite-700-w-unity-2-0-console-remanufactured
product,https://www.fitnesssuperstore.com/products/technogym-excite-crossover-1000-w-unity-3-0-console-remanufactured
product,https://www.fitnesssuperstore.com/products/french-fitness-x90-hlp-high-low-pulley-attachment-new
product,https://www.fitnesssuperstore.com/products/french-fitness-x90-3-stack-multi-gym-system-new
product,https://www.fitnesssuperstore.com/products/precor-icarian-6-stack-multi-station-gym-cw2222-remanufactured
product,https://www.fitnesssuperstore.com/products/french-fitness-e620t-elliptical-w-15-touch-console-new
product,https://www.fitnesssuperstore.com/products/french-fitness-e600-elliptical-w-led-console-new
product,https://www.fitnesssuperstore.com/products/french-fitness-3-tier-saddle-18-pair-dumbbell-rack-v3-new
product,https://www.fitnesssuperstore.com/products/sportsart-c576r-16-status-senza-recumbent-cycle-new
product,https://www.fitnesssuperstore.com/products/star-trac-10-series-trx-freerunner-24-touch-display-new
product,https://www.fitnesssuperstore.com/products/star-trac-8-series-trx-treadmill-w-led-new
product,https://www.fitnesssuperstore.com/products/stairmaster-8-series-freeclimber-w-16-touchscreen-display-new
product,https://www.fitnesssuperstore.com/products/stairmaster-10-series-10g-gauntlet-w-led-display-new
product,https://www.fitnesssuperstore.com/products/stairmaster-8-series-gauntlet-x-w-led-new
product,https://www.fitnesssuperstore.com/products/technogym-artis-synchro-elliptical-w-unity-4-0-console-remanufactured
product,https://www.fitnesssuperstore.com/products/french-fitness-vinyl-mesh-24-x-96-horizontal-banner-new
product,https://www.fitnesssuperstore.com/products/french-fitness-telluride-hip-thrust-glute-machine-new
product,https://www.fitnesssuperstore.com/products/french-fitness-telluride-triceps-press-seated-dip-new
product,https://www.fitnesssuperstore.com/products/french-fitness-telluride-torso-rotation-new
product,https://www.fitnesssuperstore.com/products/french-fitness-telluride-glute-machine-new
product,https://www.fitnesssuperstore.com/products/precor-icarian-vertical-pec-deck-405-remanufactured
product,https://www.fitnesssuperstore.com/products/star-trac-8-series-recumbent-bike-w-led-new
product,https://www.fitnesssuperstore.com/products/star-trac-8-series-upright-bike-w-led-new
product,https://www.fitnesssuperstore.com/products/star-trac-8-series-upright-bike-w-16-touch-display-new
product,https://www.fitnesssuperstore.com/products/star-trac-8-series-versastrider-w-16-touch-display-new
product,https://www.fitnesssuperstore.com/products/star-trac-8-series-versastrider-w-led-new
product,https://www.fitnesssuperstore.com/products/french-fitness-vp100-vibration-platform
product,https://www.fitnesssuperstore.com/products/precor-s-line-dual-pulldown-seated-row-remanufactured
product,https://www.fitnesssuperstore.com/products/sportsart-t661-essentials-eco-natural-treadmill-new
product,https://www.fitnesssuperstore.com/products/sportsart-e876-16-status-senza-elliptical-new
product,https://www.fitnesssuperstore.com/products/sportsart-e876-status-eco-natural-elliptical-new
product,https://www.fitnesssuperstore.com/products/sportsart-e866-16-status-senza-front-drive-elliptical-new
product,https://www.fitnesssuperstore.com/products/french-fitness-stability-ball-workout-training-charts-posters-new
product,https://www.fitnesssuperstore.com/products/sportsart-e874-13-elite-senza-elliptical-new
product,https://www.fitnesssuperstore.com/products/sportsart-e874-elite-eco-natural-elliptical-new
product,https://www.fitnesssuperstore.com/products/sportsart-e865-essentials-eco-natural-elliptical-new
product,https://www.fitnesssuperstore.com/products/sportsart-e863-prime-front-drive-elliptical-new
product,https://www.fitnesssuperstore.com/products/sportsart-e866-status-eco-natural-front-drive-elliptical-new
product,https://www.fitnesssuperstore.com/products/sportsart-e835-foundation-self-generating-elliptical-new
product,https://www.fitnesssuperstore.com/products/sportsart-c516-status-indoor-cycling-bike-new
product,https://www.fitnesssuperstore.com/products/sportsart-c510-status-indoor-cycling-bike-new
product,https://www.fitnesssuperstore.com/products/sportsart-v886-16-verso-status-senza-cross-trainer-new
product,https://www.fitnesssuperstore.com/products/sportsart-c576u-16-status-senza-upright-cycle-new
product,https://www.fitnesssuperstore.com/products/sportsart-c576u-eco-natural-upright-cycle-new
product,https://www.fitnesssuperstore.com/products/total-gym-leg-pulley-system-new
product,https://www.fitnesssuperstore.com/products/french-fitness-cable-machine-workout-training-charts-posters-new
product,https://www.fitnesssuperstore.com/products/star-trac-6-series-6tr-treadmill-w-led-black-new
